/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/splits_final.json --nnunet-config 3d_fullres --fold 3 --outdir runs/umd_multiclass/swinunetr/fold_03 --model swinunetr --task multiclass --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.0002 --poly-power 0.9 --weight-decay 0.05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json --segresnet-lr-scale 0.1 --swin-feature-size 12 --swin-heads 3 6 12 24 --swin-depths 2 2 2 1 --swin-window 7

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=5 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json
[swin] ROI override for /32 divisibility (floor): (16, 320, 320) -> (32, 320, 320)
[swin] NOTE: ROI changed for divisibility; if you OOM, try --batch-size 1.
[aug] spacing_zyx=(4.400000095367432, 0.4838709533214569, 0.4838709533214569) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[swin] auto_aniso=True anisotropic=True patch_size=(1, 2, 2) window_size=(4, 7, 7) roi=(32, 320, 320) spacing=(4.400000095367432, 0.4838709533214569, 0.4838709533214569)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:221: FutureWarning: monai.networks.nets.swin_unetr SwinUNETR.__init__:img_size: Argument `img_size` has been deprecated since version 1.3. It will be removed in version 1.5. The img_size argument is not required anymore and checks on the input size are run during forward().
  warn_deprecated(argname, msg, warning_category)
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.1545 (n=54) | c2:0.0015 (n=54) | c3:0.0151 (n=54) | c4:0.0003 (n=30)
[val] fullcase mean_fg_dice: 0.0428
[fold 3] epoch 0001/1000 | loss 2.2611 | val Dice 0.0428 (fullcase)
[fold 3] saved new best -> runs/umd_multiclass/swinunetr/fold_03/best_swinunetr_fold03.pt
[fold 3] epoch 0002/1000 | loss 1.8725
[fold 3] epoch 0003/1000 | loss 1.6821
[fold 3] epoch 0004/1000 | loss 1.5430
[fold 3] epoch 0005/1000 | loss 1.3901
[fold 3] epoch 0006/1000 | loss 1.2639
[fold 3] epoch 0007/1000 | loss 1.1673
[fold 3] epoch 0008/1000 | loss 1.0740
[fold 3] epoch 0009/1000 | loss 1.0384
[fold 3] epoch 0010/1000 | loss 1.0268
[fold 3] epoch 0011/1000 | loss 0.9794
[fold 3] epoch 0012/1000 | loss 0.9708
[fold 3] epoch 0013/1000 | loss 0.9360
[fold 3] epoch 0014/1000 | loss 0.9251
[fold 3] epoch 0015/1000 | loss 0.8804
[fold 3] epoch 0016/1000 | loss 0.8855
[fold 3] epoch 0017/1000 | loss 0.8484
[fold 3] epoch 0018/1000 | loss 0.8207
[fold 3] epoch 0019/1000 | loss 0.8215
[fold 3] epoch 0020/1000 | loss 0.7990
[fold 3] epoch 0021/1000 | loss 0.7746
[fold 3] epoch 0022/1000 | loss 0.7580
[fold 3] epoch 0023/1000 | loss 0.7657
[fold 3] epoch 0024/1000 | loss 0.7508
[fold 3] epoch 0025/1000 | loss 0.7291
[fold 3] epoch 0026/1000 | loss 0.7569
[fold 3] epoch 0027/1000 | loss 0.7275
[fold 3] epoch 0028/1000 | loss 0.7200
[fold 3] epoch 0029/1000 | loss 0.7354
[fold 3] epoch 0030/1000 | loss 0.7031
[fold 3] epoch 0031/1000 | loss 0.7088
[fold 3] epoch 0032/1000 | loss 0.7004
[fold 3] epoch 0033/1000 | loss 0.7007
[fold 3] epoch 0034/1000 | loss 0.6772
[fold 3] epoch 0035/1000 | loss 0.7053
[fold 3] epoch 0036/1000 | loss 0.6826
[fold 3] epoch 0037/1000 | loss 0.6799
[fold 3] epoch 0038/1000 | loss 0.6761
[fold 3] epoch 0039/1000 | loss 0.6658
[fold 3] epoch 0040/1000 | loss 0.6796
[fold 3] epoch 0041/1000 | loss 0.6508
[fold 3] epoch 0042/1000 | loss 0.6497
[fold 3] epoch 0043/1000 | loss 0.6570
[fold 3] epoch 0044/1000 | loss 0.6724
[fold 3] epoch 0045/1000 | loss 0.6609
[fold 3] epoch 0046/1000 | loss 0.6587
[fold 3] epoch 0047/1000 | loss 0.6313
[fold 3] epoch 0048/1000 | loss 0.6403
[fold 3] epoch 0049/1000 | loss 0.6188
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.6621 (n=54) | c2:0.5837 (n=54) | c3:0.4171 (n=54) | c4:0.1174 (n=30)
[val] fullcase mean_fg_dice: 0.4451
[fold 3] epoch 0050/1000 | loss 0.6363 | val Dice 0.4451 (fullcase)
[fold 3] saved new best -> runs/umd_multiclass/swinunetr/fold_03/best_swinunetr_fold03.pt
[fold 3] epoch 0051/1000 | loss 0.6309
[fold 3] epoch 0052/1000 | loss 0.6193
[fold 3] epoch 0053/1000 | loss 0.6151
[fold 3] epoch 0054/1000 | loss 0.6493
[fold 3] epoch 0055/1000 | loss 0.6242
[fold 3] epoch 0056/1000 | loss 0.6077
[fold 3] epoch 0057/1000 | loss 0.5939
[fold 3] epoch 0058/1000 | loss 0.6187
[fold 3] epoch 0059/1000 | loss 0.6325
[fold 3] epoch 0060/1000 | loss 0.6284
[fold 3] epoch 0061/1000 | loss 0.5993
[fold 3] epoch 0062/1000 | loss 0.6125
[fold 3] epoch 0063/1000 | loss 0.6058
[fold 3] epoch 0064/1000 | loss 0.6018
[fold 3] epoch 0065/1000 | loss 0.5930
[fold 3] epoch 0066/1000 | loss 0.5888
[fold 3] epoch 0067/1000 | loss 0.5801
[fold 3] epoch 0068/1000 | loss 0.5805
[fold 3] epoch 0069/1000 | loss 0.5640
[fold 3] epoch 0070/1000 | loss 0.5778
[fold 3] epoch 0071/1000 | loss 0.5648
[fold 3] epoch 0072/1000 | loss 0.5834
[fold 3] epoch 0073/1000 | loss 0.5902
[fold 3] epoch 0074/1000 | loss 0.5751
[fold 3] epoch 0075/1000 | loss 0.5973
[fold 3] epoch 0076/1000 | loss 0.5663
[fold 3] epoch 0077/1000 | loss 0.5697
[fold 3] epoch 0078/1000 | loss 0.5628
[fold 3] epoch 0079/1000 | loss 0.5671
[fold 3] epoch 0080/1000 | loss 0.5562
[fold 3] epoch 0081/1000 | loss 0.5611
[fold 3] epoch 0082/1000 | loss 0.5629
[fold 3] epoch 0083/1000 | loss 0.5674
[fold 3] epoch 0084/1000 | loss 0.5448
[fold 3] epoch 0085/1000 | loss 0.5322
[fold 3] epoch 0086/1000 | loss 0.5868
[fold 3] epoch 0087/1000 | loss 0.5574
[fold 3] epoch 0088/1000 | loss 0.5352
[fold 3] epoch 0089/1000 | loss 0.5408
[fold 3] epoch 0090/1000 | loss 0.5689
[fold 3] epoch 0091/1000 | loss 0.5449
[fold 3] epoch 0092/1000 | loss 0.5336
[fold 3] epoch 0093/1000 | loss 0.5263
[fold 3] epoch 0094/1000 | loss 0.5435
[fold 3] epoch 0095/1000 | loss 0.5392
[fold 3] epoch 0096/1000 | loss 0.5481
[fold 3] epoch 0097/1000 | loss 0.5355
[fold 3] epoch 0098/1000 | loss 0.5227
[fold 3] epoch 0099/1000 | loss 0.5289
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.6764 (n=54) | c2:0.6055 (n=54) | c3:0.4546 (n=54) | c4:0.1996 (n=30)
[val] fullcase mean_fg_dice: 0.4840
[fold 3] epoch 0100/1000 | loss 0.5277 | val Dice 0.4840 (fullcase)
[fold 3] saved new best -> runs/umd_multiclass/swinunetr/fold_03/best_swinunetr_fold03.pt
[fold 3] epoch 0101/1000 | loss 0.5230
[fold 3] epoch 0102/1000 | loss 0.5474
[fold 3] epoch 0103/1000 | loss 0.5324
[fold 3] epoch 0104/1000 | loss 0.5099
[fold 3] epoch 0105/1000 | loss 0.5234
[fold 3] epoch 0106/1000 | loss 0.5211
[fold 3] epoch 0107/1000 | loss 0.5524
[fold 3] epoch 0108/1000 | loss 0.4945
[fold 3] epoch 0109/1000 | loss 0.5043
[fold 3] epoch 0110/1000 | loss 0.5094
[fold 3] epoch 0111/1000 | loss 0.5220
[fold 3] epoch 0112/1000 | loss 0.5409
[fold 3] epoch 0113/1000 | loss 0.5166
[fold 3] epoch 0114/1000 | loss 0.4903
[fold 3] epoch 0115/1000 | loss 0.5170
[fold 3] epoch 0116/1000 | loss 0.5269
[fold 3] epoch 0117/1000 | loss 0.5420
[fold 3] epoch 0118/1000 | loss 0.4994
[fold 3] epoch 0119/1000 | loss 0.4956
[fold 3] epoch 0120/1000 | loss 0.5008
[fold 3] epoch 0121/1000 | loss 0.4992
[fold 3] epoch 0122/1000 | loss 0.4914
[fold 3] epoch 0123/1000 | loss 0.4892
[fold 3] epoch 0124/1000 | loss 0.4862
[fold 3] epoch 0125/1000 | loss 0.5210
[fold 3] epoch 0126/1000 | loss 0.4908
[fold 3] epoch 0127/1000 | loss 0.4954
[fold 3] epoch 0128/1000 | loss 0.4889
[fold 3] epoch 0129/1000 | loss 0.4759
[fold 3] epoch 0130/1000 | loss 0.4965
[fold 3] epoch 0131/1000 | loss 0.4777
[fold 3] epoch 0132/1000 | loss 0.5216
[fold 3] epoch 0133/1000 | loss 0.4858
[fold 3] epoch 0134/1000 | loss 0.4937
[fold 3] epoch 0135/1000 | loss 0.4828
[fold 3] epoch 0136/1000 | loss 0.4960
[fold 3] epoch 0137/1000 | loss 0.4633
[fold 3] epoch 0138/1000 | loss 0.4861
[fold 3] epoch 0139/1000 | loss 0.5032
[fold 3] epoch 0140/1000 | loss 0.5032
[fold 3] epoch 0141/1000 | loss 0.4908
[fold 3] epoch 0142/1000 | loss 0.4773
[fold 3] epoch 0143/1000 | loss 0.4615
[fold 3] epoch 0144/1000 | loss 0.4863
[fold 3] epoch 0145/1000 | loss 0.4626
[fold 3] epoch 0146/1000 | loss 0.4976
[fold 3] epoch 0147/1000 | loss 0.4874
