/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/lms_binary/mednext/fold_04 --model mednext --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json --segresnet-lr-scale 0.1 --mednext-variant S --mednext-kernel-size 3 --mednext-init-filters 32 --mednext-norm-type group

<frozen importlib._bootstrap_external>:1241: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json
[aug] spacing_zyx=(3.3600001335144043, 0.625, 0.625) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[mednext] variant=S kernel_size=3 init_filters=32 deep_supervision=False residual=True norm=group global_resp_norm=False
[loss] Dice include_background=False (default False).
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1566: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1654: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=use_amp):
[val] fullcase evaluating n_cases=33 (requested max_cases=0)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:231: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  win_data = inputs[unravel_slice[0]].to(sw_device)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:370: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  out[idx_zm] += p
[val] fullcase per-class dice: c1:0.2922 (n=33)
[val] fullcase mean_fg_dice: 0.2922
[fold 4] epoch 0001/1000 | loss 1.1937 | val Dice 0.2922 (fullcase)
[fold 4] saved new best -> runs/lms_binary/mednext/fold_04/best_mednext_fold04.pt
[fold 4] epoch 0002/1000 | loss 1.0558
[fold 4] epoch 0003/1000 | loss 0.9655
[fold 4] epoch 0004/1000 | loss 0.9240
[fold 4] epoch 0005/1000 | loss 0.9081
[fold 4] epoch 0006/1000 | loss 0.8780
[fold 4] epoch 0007/1000 | loss 0.8515
[fold 4] epoch 0008/1000 | loss 0.8434
[fold 4] epoch 0009/1000 | loss 0.8777
[fold 4] epoch 0010/1000 | loss 0.8250
[fold 4] epoch 0011/1000 | loss 0.8152
[fold 4] epoch 0012/1000 | loss 0.8042
[fold 4] epoch 0013/1000 | loss 0.8294
[fold 4] epoch 0014/1000 | loss 0.7790
[fold 4] epoch 0015/1000 | loss 0.7598
[fold 4] epoch 0016/1000 | loss 0.7569
[fold 4] epoch 0017/1000 | loss 0.8065
[fold 4] epoch 0018/1000 | loss 0.7736
[fold 4] epoch 0019/1000 | loss 0.7622
[fold 4] epoch 0020/1000 | loss 0.7222
[fold 4] epoch 0021/1000 | loss 0.7342
[fold 4] epoch 0022/1000 | loss 0.7198
[fold 4] epoch 0023/1000 | loss 0.7276
[fold 4] epoch 0024/1000 | loss 0.7177
[fold 4] epoch 0025/1000 | loss 0.7336
[fold 4] epoch 0026/1000 | loss 0.6961
[fold 4] epoch 0027/1000 | loss 0.7335
[fold 4] epoch 0028/1000 | loss 0.6711
[fold 4] epoch 0029/1000 | loss 0.6768
[fold 4] epoch 0030/1000 | loss 0.7204
[fold 4] epoch 0031/1000 | loss 0.6796
[fold 4] epoch 0032/1000 | loss 0.6852
[fold 4] epoch 0033/1000 | loss 0.6734
[fold 4] epoch 0034/1000 | loss 0.7689
[fold 4] epoch 0035/1000 | loss 0.6932
[fold 4] epoch 0036/1000 | loss 0.6269
[fold 4] epoch 0037/1000 | loss 0.6319
[fold 4] epoch 0038/1000 | loss 0.6303
[fold 4] epoch 0039/1000 | loss 0.7409
[fold 4] epoch 0040/1000 | loss 0.6659
[fold 4] epoch 0041/1000 | loss 0.6267
[fold 4] epoch 0042/1000 | loss 0.6688
[fold 4] epoch 0043/1000 | loss 0.7015
[fold 4] epoch 0044/1000 | loss 0.6743
[fold 4] epoch 0045/1000 | loss 0.6169
[fold 4] epoch 0046/1000 | loss 0.6291
[fold 4] epoch 0047/1000 | loss 0.6160
[fold 4] epoch 0048/1000 | loss 0.6417
[fold 4] epoch 0049/1000 | loss 0.6615
[val] fullcase evaluating n_cases=33 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.4527 (n=33)
[val] fullcase mean_fg_dice: 0.4527
[fold 4] epoch 0050/1000 | loss 0.6564 | val Dice 0.4527 (fullcase)
[fold 4] saved new best -> runs/lms_binary/mednext/fold_04/best_mednext_fold04.pt
[fold 4] epoch 0051/1000 | loss 0.6158
[fold 4] epoch 0052/1000 | loss 0.5941
[fold 4] epoch 0053/1000 | loss 0.5880
[fold 4] epoch 0054/1000 | loss 0.5731
[fold 4] epoch 0055/1000 | loss 0.5475
[fold 4] epoch 0056/1000 | loss 0.6164
[fold 4] epoch 0057/1000 | loss 0.5820
[fold 4] epoch 0058/1000 | loss 0.5316
[fold 4] epoch 0059/1000 | loss 0.5696
[fold 4] epoch 0060/1000 | loss 0.6032
[fold 4] epoch 0061/1000 | loss 0.5639
[fold 4] epoch 0062/1000 | loss 0.5367
[fold 4] epoch 0063/1000 | loss 0.5432
[fold 4] epoch 0064/1000 | loss 0.5619
[fold 4] epoch 0065/1000 | loss 0.5316
[fold 4] epoch 0066/1000 | loss 0.5395
[fold 4] epoch 0067/1000 | loss 0.5503
[fold 4] epoch 0068/1000 | loss 0.5985
[fold 4] epoch 0069/1000 | loss 0.6401
[fold 4] epoch 0070/1000 | loss 0.6009
[fold 4] epoch 0071/1000 | loss 0.5565
[fold 4] epoch 0072/1000 | loss 0.5075
[fold 4] epoch 0073/1000 | loss 0.5111
[fold 4] epoch 0074/1000 | loss 0.5139
[fold 4] epoch 0075/1000 | loss 0.4733
[fold 4] epoch 0076/1000 | loss 0.5444
[fold 4] epoch 0077/1000 | loss 0.5357
[fold 4] epoch 0078/1000 | loss 0.5465
[fold 4] epoch 0079/1000 | loss 0.5039
[fold 4] epoch 0080/1000 | loss 0.4993
[fold 4] epoch 0081/1000 | loss 0.5199
[fold 4] epoch 0082/1000 | loss 0.4774
[fold 4] epoch 0083/1000 | loss 0.5627
[fold 4] epoch 0084/1000 | loss 0.5155
[fold 4] epoch 0085/1000 | loss 0.5144
[fold 4] epoch 0086/1000 | loss 0.5214
[fold 4] epoch 0087/1000 | loss 0.5432
